dimension,algorithm,function,min,max,mean,std,median,1_quart,3_quart
10,FDA,Cigar,20.291929688385665,89426119938.28783,1146721761.864496,7688723045.73755,20.35948770935478,20.32571987714459,20.393290206430514
10,DIRECT,Cigar,28531.08349271344,163064897844.02917,25633709708.244495,26089237097.181293,14897769120.24966,4677582420.113926,41098190943.97212
10,DIRECTL,Cigar,28523.25207022945,64614976513.14439,16503054509.830296,18880346910.893894,3709967156.969133,91299259.72461198,34727533525.9032
10,DIRECTR,Cigar,5976.767058760693,140877816124.93692,4282069734.506019,12896538205.628511,6393.17165828689,5996.119784402111,29397631.84516674
10,SOO,Cigar,24023288.97528774,104690680545.34843,2448767615.3523674,9003969986.809214,24726418.120379634,24143745.403655674,122664413.02118908
10,DIRECTBs,Cigar,26473863.790463675,64614976513.14439,68430451.98943599,1057211362.3114833,26473863.790681746,26473863.790591925,26473863.790774647
10,FDABs,Cigar,20.291929688385665,89426119938.28783,1146721761.864496,7688723045.73755,20.35948770935478,20.32571987714459,20.393290206430514
10,FDADBs,Cigar,19396017941.719303,91466323557.22916,52723991102.83369,17770653367.34322,48648028744.9901,37344684404.94992,66163708046.927475
10,FDAC,Cigar,20.291929688385665,89426119938.28783,1146721761.864496,7688723045.73755,20.35948770935478,20.32571987714459,20.393290206430514
10,FDAD,Cigar,19396017941.719303,91466323557.22916,52723991102.83369,17770653367.34322,48648028744.9901,37344684404.94992,66163708046.927475
10,SOOBs,Cigar,26607114.141008597,51485721241.34476,39616613.46418226,586227890.9886062,26607114.141008597,26607114.141008597,26607114.141008597
15,FDA,Cigar,4319.256585879983,152910581104.92972,1902290964.4497945,13109733394.71458,4343.101367331676,4331.178804938212,4355.041212907301
15,DIRECT,Cigar,552132.18301891,211822303310.71323,48751354503.32444,35158011204.23293,40960991859.94081,25278369265.530617,63251128748.46016
15,DIRECTL,Cigar,81307.67653470542,112222675547.2784,14135689580.28157,9667146996.96869,17557480326.8125,3015115302.4067097,21707803536.467915
15,DIRECTR,Cigar,166639.37932520523,190432617823.31467,5289284566.380588,17314093395.134583,166846.27454678435,166639.65532588767,9941005.79137789
15,SOO,Cigar,70819.73527667776,167341064829.63425,3373519946.4817023,11751055136.55182,14546282.025730833,90200.86774933964,315613190.81083715
15,DIRECTBs,Cigar,81285.37961286328,112222675547.2784,74295102.7434995,1650982115.3217368,81285.3796128688,81285.3796128688,81285.3796128688
15,FDABs,Cigar,4319.256585879983,152910581104.92972,1902290964.4497945,13109733394.71458,4343.101367331676,4331.178804938212,4355.041212907301
15,FDADBs,Cigar,33036787697.89834,154042705325.94812,92362430415.57274,30343642563.641155,87739048856.32886,65708899343.84389,116640293627.0954
15,FDAC,Cigar,4318.838886085613,114978206248.01656,1178048910.44127,9261487318.67735,4342.6800886049605,4330.762264632398,4354.616370528902
15,FDAD,Cigar,33036787697.89834,154042705325.94812,92362430415.57274,30343642563.641155,87739048856.32886,65708899343.84389,116640293627.0954
15,SOOBs,Cigar,93999322.96066745,111813653546.31725,112542663.0954005,801296461.617873,93999322.96066745,93999322.96066745,93999322.96066745
20,FDA,Cigar,1766.2352414492843,117389012064.25948,1213076140.423977,9396013524.913168,1779.9073577397478,1773.0748852347783,1786.7545024384017
20,DIRECT,Cigar,661887318.9105797,202562888989.92493,50192964640.60802,27293737249.759464,45512273395.364624,32539816855.03649,62609902381.15195
20,DIRECTL,Cigar,244808.1722687505,88371325258.45761,19793107548.534893,10860330984.987558,22931996717.97866,16547649733.617247,27123599168.619045
20,DIRECTR,Cigar,631756587.9069701,163274496369.4742,7322428482.789985,15634178989.622307,631991507.6296012,631757144.9967718,1366627004.1521442
20,SOO,Cigar,7884937.448898786,121612816767.62346,5028113303.346252,13331008089.794603,202377208.1744503,9082300.330826005,747788859.5414035
20,DIRECTBs,Cigar,244752.6561407341,88371325258.45761,134582923.8396507,2223980117.8381553,244752.65615036144,244752.6561503614,244752.65615036144
20,FDABs,Cigar,1766.2352414492843,117389012064.25948,1213076140.423977,9396013524.913168,1779.9073577397478,1773.0748852347783,1786.7545024384017
20,FDADBs,Cigar,22522601860.99372,119953023761.90646,60062394132.55942,28013028376.404858,54286532527.52369,35458679449.61763,81757484717.31805
20,FDAC,Cigar,1766.2352414492843,117389012064.25948,1213076140.423977,9396013524.913168,1779.9073577397478,1773.0748852347783,1786.7545024384017
20,FDAD,Cigar,22522601860.99372,119953023761.90646,60062394132.55942,28013028376.404858,54286532527.52369,35458679449.61763,81757484717.31805
20,SOOBs,Cigar,259791200.83281776,67825367856.24652,282384529.9722349,892559172.2525771,259791200.8328204,259791200.8328178,259791200.832855
30,FDA,Cigar,74.71158952219386,173036463358.9548,1867847539.8815868,14082330876.381987,75.08436977194012,74.89802637712957,75.27085803707024
30,DIRECT,Cigar,901395353.5202298,274188955021.66467,64773313030.0908,37891248215.95975,54471851943.22646,40012790348.934586,80710288189.68103
30,DIRECTL,Cigar,457487752.8863412,136594267742.73882,53071932521.35104,24084517669.267883,54390753653.90973,36396446979.81591,72327850288.00348
30,DIRECTR,Cigar,999176540.8093967,229986681642.04596,9701288564.965971,21644647530.658585,1000070698.7498852,999180433.9806336,1285358619.8647714
30,SOO,Cigar,6898337.092002299,217315624199.61115,7927999680.508697,18020143080.027157,467214995.3709289,12406206.104307696,4755707844.097427
30,DIRECTBs,Cigar,457392079.9386803,136594267742.73882,686539273.0157963,3363729146.8994937,457392079.9386804,457392079.9386804,457392079.93868047
30,FDABs,Cigar,74.71158952219386,173036463358.9548,1867847539.8815868,14082330876.381987,75.08436977194012,74.89802637712957,75.27085803707024
30,FDADBs,Cigar,36419429430.03175,175171371675.91513,90072276303.91702,39860059433.800735,82142412350.14192,54954870573.866714,121049403005.22905
30,FDAC,Cigar,74.71453502399885,138063156596.61307,1484973081.2457073,11254318459.551876,75.08731874812034,74.9011085350555,75.27388492491008
30,FDAD,Cigar,36419429430.03175,175171371675.91513,90072276303.91702,39860059433.800735,82142412350.14192,54954870573.866714,121049403005.22905
30,SOOBs,Cigar,643185678.2178385,115723469247.1728,673061732.989042,1153770747.3246415,643185682.1384432,643185680.7991977,643185683.5081688
50,FDA,Cigar,6472.60680552795,199408993059.42856,1833681908.8353546,15693469718.467894,6500.688828981631,6485.194952980423,6516.202976451726
50,DIRECT,Cigar,2188776585.280895,317980906600.63684,89489840215.50053,43946370489.467186,81980812028.84485,57857479721.80154,112480984606.5424
50,DIRECTL,Cigar,12861448.750726558,173741758064.82376,82559850027.37518,39854702870.660255,86846502344.57748,54595289313.41151,115103378666.34322
50,DIRECTR,Cigar,1140093017.6888669,242481592923.2961,16571194620.592285,33788411051.480446,1145862931.3617911,1140278465.94246,6377677306.842755
50,SOO,Cigar,79111513.46861549,210548688456.5812,19248310434.210476,36456116904.77249,985119914.8106208,114435473.74587217,19127553151.524765
50,DIRECTBs,Cigar,12860789.699461931,173741758064.82376,658535714.3822573,7298347324.140511,12860789.699461935,12860789.699461935,12860789.69946194
50,FDABs,Cigar,6472.60680552795,199408993059.42856,1833681908.8353546,15693469718.467894,6500.688828981631,6485.194952980423,6516.202976451726
50,FDADBs,Cigar,17756923737.251686,201483740151.00076,79417615148.8118,53010175193.74633,63662501766.90475,33375239467.034958,117575682175.03683
50,FDAC,Cigar,6472.60680552795,199408993059.42856,1833681908.8353546,15693469718.467894,6500.688828981631,6485.194952980423,6516.202976451726
50,FDAD,Cigar,17756923737.251686,201483740151.00076,79417615148.8118,53010175193.74633,63662501766.90475,33375239467.034958,117575682175.03683
50,SOOBs,Cigar,2402115928.544824,156273818683.4337,2461733065.2229724,2248819069.956131,2402122351.5298767,2402119831.6410108,2402140490.9573216
100,FDA,Cigar,4171.996629303627,369656300890.2471,3236587640.3610306,29259409609.48932,4182.665450933484,4177.3294417089355,4188.0000175904925
100,DIRECT,Cigar,9902228123.614605,517617354698.56696,211664338016.1791,74380011790.0875,212385864295.51575,167096498599.7667,253477566270.68036
100,DIRECTL,Cigar,569901316.7865779,339817753331.4238,147443422200.13583,71184086563.11653,159946293367.12048,109678217399.50194,200781331205.5197
100,DIRECTR,Cigar,7396862241.876465,418489620333.2479,46972973820.53575,64941876916.785065,8480957114.752909,7420514996.388264,57944077893.58728
100,SOO,Cigar,750863388.0785272,385463833284.0245,60942082815.506874,84232479630.59193,18137674616.861458,2379309547.220912,87917404005.91302
100,DIRECTBs,Cigar,569581072.1142673,339817753331.4238,3328273029.5592446,21685366125.287956,569581072.1142675,569581072.1142673,569581072.1186924
100,FDABs,Cigar,4171.996629303627,369656300890.2471,3236587640.3610306,29259409609.48932,4182.665450933484,4177.3294417089355,4188.0000175904925
100,FDADBs,Cigar,20510206833.26697,371725145882.8068,130894829279.87393,101808183855.53963,96625645015.9476,43318236594.89093,201107038974.11102
100,FDAC,Cigar,4171.996629303627,369656300890.2471,3236587640.3610306,29259409609.48932,4182.665450933484,4177.3294417089355,4188.0000175904925
100,FDAD,Cigar,20510206833.26697,371725145882.8068,130894829279.87393,101808183855.53963,96625645015.9476,43318236594.89093,201107038974.11102
100,SOOBs,Cigar,3191918289.313462,326380240357.0852,3325523428.962071,4351209755.457797,3212033056.1603518,3205830825.772791,3216918687.491105
10,FDA,Modified_schwefel,1342.592630748451,6051.258643308086,1524.5324111427483,485.97588501613245,1401.8344841323558,1401.8338223108626,1424.925932142475
10,DIRECT,Modified_schwefel,828.6414260371932,6552.023775951549,3530.575858964476,673.4584261014735,3549.5504915036136,3118.890568323237,3973.9212997527447
10,DIRECTL,Modified_schwefel,902.1871229086173,5379.683154910288,3250.8361087712883,1073.022262399588,3526.9366542216144,2981.647842510039,3935.9909716961392
10,DIRECTR,Modified_schwefel,345.52705375216283,5934.030450403913,1202.9868456747333,1199.0667658731263,454.4384603381229,345.5272292226016,2223.272202530671
